48.00,14.00,23119.08,97.00,95.15
48.00,9.00,6557.15,174.00,89.77
48.00,6.00,7241.36,103.00,98.52
48.00,8.00,14155.63,92.00,91.91
54.00,9.00,10048.46,93.00,86.43
54.00,2.00,11772.70,85.00,84.67
54.00,7.00,3594.02,93.00,87.57
54.00,15.00,11770.24,90.00,90.25
54.00,3.00,15353.87,89.00,87.72
54.00,11.00,9057.62,93.00,87.95
54.00,6.00,12916.96,95.00,94.25
54.00,14.00,9476.31,88.00,89.53
54.00,8.00,2682.27,93.00,87.57
54.00,13.00,35415.39,90.00,88.34
54.00,12.00,20130.19,93.00,91.07
54.00,10.00,7420.40,93.00,87.57
54.00,4.00,11212.59,92.00,91.32
54.00,1.00,11567.33,83.00,83.96
54.00,5.00,10976.21,88.00,88.18
60.00,8.00,9418.88,92.00,87.72
60.00,6.00,3216.87,75.00,84.10
60.00,4.00,23873.54,92.00,89.45
60.00,11.00,31562.98,92.00,88.97
60.00,1.00,15882.92,74.00,80.26
60.00,2.00,21307.07,91.00,89.13
60.00,9.00,4230.38,169.00,85.47
60.00,10.00,9134.97,181.00,89.53
60.00,14.00,2601.76,107.00,97.85
60.00,13.00,71609.49,90.00,88.26
60.00,12.00,31586.76,91.00,88.50
60.00,3.00,5180.05,81.00,84.25
60.00,15.00,19998.69,91.00,84.96
60.00,7.00,8764.17,165.00,85.84
60.00,5.00,29730.38,91.00,87.87
66.00,4.00,1598.40,180.00,90.91
66.00,10.00,27337.89,90.00,85.76
66.00,7.00,13661.11,91.00,84.75
66.00,8.00,15376.41,92.00,85.62
66.00,11.00,24045.91,89.00,86.88
66.00,9.00,17401.73,163.00,83.40
66.00,3.00,6397.96,98.00,90.83
66.00,6.00,5638.40,98.00,93.55
66.00,14.00,12436.13,92.00,88.42
66.00,13.00,19102.45,81.00,84.60
66.00,2.00,4362.90,94.00,86.73
66.00,12.00,36253.11,78.00,81.57
66.00,5.00,7346.36,77.00,81.04
66.00,15.00,18445.17,167.00,167.50
66.00,1.00,11492.11,75.00,79.94
72.00,1.00,17422.22,77.00,80.65
72.00,4.00,16757.87,89.00,82.71
72.00,14.00,9785.66,98.00,95.51
72.00,9.00,5551.51,92.00,85.40
72.00,2.00,9723.78,75.00,82.51
72.00,12.00,36239.63,76.00,82.03
72.00,6.00,11319.04,77.00,82.10
72.00,15.00,6611.90,90.00,84.96
72.00,5.00,3036.91,79.00,81.43
72.00,13.00,18947.01,79.00,82.10
72.00,8.00,24433.81,93.00,88.65
72.00,7.00,21819.62,88.00,83.54
72.00,3.00,6068.27,85.00,81.77
72.00,10.00,11407.41,82.00,83.68
72.00,11.00,12973.65,89.00,88.73
78.00,13.00,110508.00,76.00,80.58
78.00,15.00,13437.10,84.00,83.06
78.00,14.00,6496.14,169.00,85.25
78.00,5.00,17246.16,74.00,80.00
78.00,3.00,16254.88,73.00,84.03
78.00,11.00,23951.52,90.00,86.58
78.00,10.00,8455.66,86.00,84.10
78.00,4.00,12225.45,88.00,82.58
78.00,9.00,18558.64,91.00,84.89
78.00,7.00,25771.73,76.00,81.37
78.00,6.00,3988.57,196.00,91.83
78.00,8.00,9478.35,144.00,86.06
78.00,2.00,57262.37,80.00,84.03
78.00,12.00,3477.06,77.00,85.69
78.00,1.00,62191.88,74.00,79.05
84.00,11.00,46617.74,85.00,80.91
84.00,13.00,32935.21,89.00,86.51
84.00,1.00,22150.33,77.00,79.94
84.00,15.00,86517.60,77.00,80.39
84.00,9.00,12469.23,166.00,82.92
84.00,7.00,30071.74,89.00,84.18
84.00,6.00,11131.65,87.00,83.13
84.00,2.00,16493.87,79.00,81.63
84.00,10.00,33310.07,91.00,86.73
84.00,14.00,33933.79,76.00,79.18
84.00,3.00,40658.22,77.00,80.13
84.00,8.00,3252.77,163.00,85.18
84.00,12.00,70222.18,75.00,80.06
84.00,5.00,30041.91,77.00,77.16
84.00,4.00,11360.81,86.00,82.71
90.00,5.00,99738.76,75.00,78.68
90.00,13.00,45896.59,88.00,80.78
90.00,1.00,55878.69,76.00,78.00
90.00,7.00,16657.54,82.00,84.18
90.00,10.00,1829.42,67.00,67.34
90.00,11.00,30681.18,76.00,80.32
90.00,4.00,53655.21,77.00,79.74
90.00,15.00,173194.48,77.00,79.74
90.00,3.00,90356.45,77.00,79.81
90.00,6.00,8361.90,94.00,79.11
90.00,14.00,143745.03,75.00,79.24
90.00,12.00,61027.56,87.00,80.71
90.00,9.00,67547.62,77.00,79.37
90.00,8.00,46672.86,74.00,77.82
90.00,2.00,28208.84,88.00,81.04
96.00,11.00,70320.85,76.00,79.30
96.00,7.00,59337.21,77.00,79.94
96.00,10.00,15254.08,74.00,75.87
96.00,2.00,147712.24,76.00,78.86
96.00,4.00,9639.31,83.00,80.06
96.00,8.00,122748.06,75.00,79.24
96.00,13.00,75966.80,75.00,77.46
96.00,9.00,30394.71,81.00,80.00
96.00,1.00,41603.63,75.00,77.22
96.00,15.00,188747.36,76.00,78.37
96.00,5.00,60574.68,78.00,78.93
96.00,6.00,74262.95,76.00,79.37
96.00,12.00,62879.15,75.00,76.51
96.00,14.00,142038.96,76.00,78.93
96.00,3.00,78404.77,86.00,80.19
102.00,10.00,35263.87,75.00,77.22
102.00,13.00,132040.86,76.00,77.70
102.00,1.00,12556.11,76.00,77.16
102.00,3.00,33779.36,88.00,79.68
102.00,5.00,23188.31,79.00,79.49
102.00,4.00,8947.35,77.00,77.70
102.00,6.00,10507.12,87.00,81.17
102.00,14.00,124765.67,77.00,78.80
102.00,15.00,30086.48,81.00,81.23
102.00,8.00,111624.38,77.00,79.11
102.00,2.00,114339.76,77.00,78.55
102.00,7.00,38038.04,78.00,79.18
102.00,11.00,11365.13,138.00,76.34
102.00,12.00,91911.33,75.00,78.25
102.00,9.00,4359.77,82.00,81.10
108.00,11.00,9832.03,76.00,77.16
108.00,10.00,17062.52,73.00,74.85
108.00,4.00,6470.78,86.00,80.00
108.00,5.00,7916.10,79.00,79.94
108.00,7.00,25793.31,85.00,82.78
108.00,15.00,63243.36,77.00,79.49
108.00,9.00,4506.06,174.00,75.70
108.00,3.00,87700.23,75.00,77.34
108.00,13.00,170255.07,78.00,78.93
108.00,8.00,42387.15,77.00,77.16
108.00,1.00,26310.97,77.00,78.55
108.00,12.00,78580.63,75.00,77.88
108.00,2.00,128146.73,77.00,78.68
108.00,14.00,59150.15,80.00,79.87
108.00,6.00,44161.57,74.00,77.10
114.00,5.00,15142.94,83.00,79.87
114.00,2.00,133495.62,79.00,79.62
114.00,11.00,11831.24,75.00,76.92
114.00,6.00,53083.86,76.00,77.64
114.00,14.00,6258.00,80.00,78.43
114.00,4.00,6362.74,83.00,77.52
114.00,10.00,213059.10,75.00,78.31
114.00,12.00,18260.29,76.00,77.76
114.00,3.00,76347.44,76.00,77.94
114.00,13.00,134348.40,76.00,77.16
114.00,9.00,25853.03,75.00,75.93
114.00,15.00,84365.93,77.00,77.82
114.00,7.00,19841.61,77.00,78.31
114.00,1.00,2780.85,72.00,74.40
114.00,8.00,151607.62,77.00,78.99
120.00,7.00,9303.09,76.00,74.96
120.00,10.00,147118.84,76.00,78.25
120.00,4.00,3009.80,79.00,78.62
120.00,2.00,8645.59,79.00,79.62
120.00,6.00,79124.61,75.00,77.82
120.00,13.00,32558.70,74.00,78.06
120.00,1.00,9098.95,74.00,76.05
120.00,5.00,4474.97,74.00,71.38
120.00,11.00,24462.36,78.00,78.12
120.00,8.00,50512.51,77.00,77.94
120.00,14.00,9081.58,74.00,74.07
120.00,9.00,22622.20,75.00,75.64
120.00,12.00,131285.40,76.00,78.19
120.00,3.00,125574.63,77.00,79.18
120.00,15.00,19451.72,77.00,76.51
